label,L_qw,L_qx,L_qy,L_qz,L_f1,L_f2,L_f3,L_f4,L_f5,R_qw,R_qx,R_qy,R_qz,R_f1,R_f2,R_f3,R_f4,R_f5
A,0.013866666666666666,-0.49796666666666667,0.0694,-0.8643,0.0,1.0,0.8733,0.6954,0.0,0.6242333333333333,-0.46869999999999995,0.4163666666666666,-0.46613333333333334,1.0,1.0,1.0,0.2454,0.0
A,0.016700000000000003,-0.501,0.06536666666666667,-0.8628,0.0,1.0,0.8687,0.7234,0.0038,0.6205333333333334,-0.47196666666666665,0.4194333333333333,-0.4650666666666667,0.9872,1.0,1.0,0.286,0.0
A,0.021099999999999997,-0.5025333333333334,0.06210000000000001,-0.8620333333333333,0.0,1.0,0.863,0.74,0.0,0.6180666666666667,-0.47300000000000003,0.4230333333333333,-0.464,0.9959,1.0,1.0,0.2258,0.0
A,0.018733333333333334,-0.5034666666666666,0.06143333333333333,-0.8616333333333334,0.0,1.0,0.8627,0.7452,0.0,0.6153333333333333,-0.4724,0.42616666666666664,-0.4654666666666667,1.0,1.0,1.0,0.2594,0.0
A,0.018466666666666666,-0.5043333333333333,0.06063333333333334,-0.8611666666666666,0.0,1.0,0.8627,0.754,0.0,0.6144333333333333,-0.4724,0.4277,-0.46513333333333334,0.9986,1.0,1.0,0.188,0.0
A,0.018966666666666666,-0.5047666666666667,0.0594,-0.8610333333333333,0.0,1.0,0.8604,0.7514,0.0,0.6130666666666666,-0.4732,0.4283333333333334,-0.4656666666666667,1.0,1.0,1.0,0.2846,0.0
B,0.10693333333333332,-0.3564333333333333,-0.37553333333333333,0.8488000000000001,0.0,0.416,0.2981,0.6736,0.6018,0.7636333333333333,-0.11343333333333333,-0.5289,-0.3525,0.823,0.0,1.0,0.0,0.866
C,0.07746666666666667,-0.2938,-0.23853333333333335,0.9224,0.0,1.0,0.8934,0.3569,0.7325,0.7653666666666666,-0.19343333333333335,0.6125,0.039733333333333336,0.5132,0.0,0.0,0.0,0.0
C,0.07846666666666667,-0.2926666666666667,-0.23753333333333335,0.9228999999999999,0.0,1.0,0.8946,0.345,0.7385,0.7651666666666667,-0.19326666666666667,0.6128666666666667,0.039766666666666665,0.5129,0.0,0.0,0.0,0.0
C,0.07613333333333333,-0.29073333333333334,-0.23193333333333332,0.9251333333333335,0.0,1.0,0.8889,0.3154,0.6965,0.7628666666666667,-0.1957,0.6149333333333333,0.04003333333333333,0.5025,0.0,0.0,0.0,0.0
D,0.0070999999999999995,0.33286666666666664,0.32326666666666665,-0.8857666666666667,0.0,1.0,0.7662,0.1794,0.444,0.7946,-0.2688,-0.49456666666666665,-0.22763333333333333,0.0,0.0,0.0,0.5841,0.0
D,0.012699999999999998,0.35013333333333335,0.3207333333333333,-0.88,0.0,1.0,0.7654,0.1773,0.45,0.7856666666666666,-0.2608333333333333,-0.5091333333333333,-0.23549999999999996,0.0,0.0,0.0,0.6121,0.0
D,0.013433333333333334,0.35166666666666674,0.3206,-0.8794333333333334,0.0,1.0,0.7684,0.1788,0.4335,0.7853,-0.2594,-0.5102666666666666,-0.23583333333333334,0.0,0.0,0.0,0.6191,0.0
E,0.06026666666666666,0.7872333333333333,-0.4396,0.42826666666666674,0.0,1.0,0.8467,0.0148,0.8723,0.9488,0.006599999999999999,-0.08673333333333333,-0.3037666666666667,0.0,0.0203,0.0,0.6793,0.7825
E,0.06153333333333333,0.7875333333333333,-0.4384666666666666,0.42860000000000004,0.0,1.0,0.8387,0.0091,0.8888,0.9495,0.005233333333333333,-0.08700000000000001,-0.3014666666666667,0.0,0.0342,0.0,0.5141,0.2817
E,0.061766666666666664,0.7878,-0.4378,0.42883333333333334,0.0,1.0,0.8418,0.0153,0.8768,0.9498000000000001,0.005066666666666666,-0.0873,-0.30033333333333334,0.0,0.0228,0.0,0.4973,0.0794
E,0.06563333333333334,0.7877,-0.4343333333333333,0.43196666666666667,0.0,1.0,0.8281,0.0029,0.8798,0.9512,0.0063,-0.08750000000000001,-0.29573333333333335,0.0,1.0,0.0,0.3168,0.0
E,0.06596666666666667,0.7839,-0.4405666666666666,0.4325666666666666,0.0,1.0,0.8247,0.0018,0.8693,0.9513333333333334,0.008633333333333333,-0.0906,-0.2944333333333333,0.0,1.0,1.0,0.1166,0.0
F,0.21719999999999998,-0.04613333333333333,0.14113333333333333,0.9648,0.0,0.9404,0.1743,0.0439,0.6258,0.9255666666666666,0.0244,0.028766666666666666,-0.37670000000000003,0.0,0.0,0.0,0.9075,1.0
F,0.21696666666666667,-0.04583333333333334,0.1413,0.9648,0.0,0.9562,0.1708,0.0454,0.6198,0.9256333333333333,0.0243,0.0292,-0.37656666666666666,0.0,0.0,0.0,0.9831,1.0
F,0.21676666666666666,-0.04576666666666667,0.14186666666666667,0.9647666666666667,0.0,0.9654,0.175,0.0454,0.6183,0.9255666666666666,0.02413333333333333,0.029233333333333333,-0.37653333333333333,0.0,0.0,0.0,1.0,1.0
F,0.21633333333333335,-0.04546666666666666,0.14259999999999998,0.9648,0.0,0.9621,0.1708,0.0433,0.6183,0.9255,0.024233333333333332,0.029333333333333333,-0.37666666666666665,0.0,0.0,0.0,1.0,1.0
F,0.21613333333333332,-0.0458,0.14296666666666666,0.9647333333333333,0.0,0.9596,0.1727,0.047,0.6649,0.9255666666666666,0.024033333333333334,0.029133333333333334,-0.3766333333333333,0.0,0.0,0.0,1.0,1.0
F,0.21633333333333335,-0.04476666666666667,0.1441,0.9646,0.0,0.9637,0.1743,0.0459,0.6258,0.9258000000000001,0.022500000000000003,0.02996666666666667,-0.37609999999999993,0.0,0.0,0.0,1.0,1.0
F,0.21703333333333333,-0.044533333333333334,0.1443,0.9644,0.0,0.9654,0.1712,0.0408,0.6664,0.9263,0.021833333333333333,0.0313,-0.3748666666666667,0.0,0.0,0.0,1.0,1.0
F,0.21729999999999997,-0.044233333333333326,0.1447,0.9643,0.0,0.9662,0.1758,0.0402,0.6424,0.9263,0.0219,0.0322,-0.3746,0.0,0.0,0.0,1.0,1.0
F,0.2175,-0.043800000000000006,0.14516666666666667,0.9642,0.0,0.9629,0.1762,0.0413,0.6439,0.9264,0.021400000000000002,0.03286666666666666,-0.3746,0.0,0.0,0.0,1.0,1.0
