timestamp,label,L_qw,L_qx,L_qy,L_qz,L_f1,L_f2,L_f3,L_f4,L_f5,R_qw,R_qx,R_qy,R_qz,R_f1,R_f2,R_f3,R_f4,R_f5
0.0,i,0.72,-0.2665,0.6314,0.1089,0.0766,0.0,0.0,0.4775,0.8504,0.4426,0.5289,0.4633,0.5565,0.0,0.1316,0.0202,0.1303,1.0
0.02,i,0.7198,-0.2688,0.6305,0.1098,0.0,0.0,0.0,0.5477,1.0,0.4437,0.5291,0.4633,0.5555,0.0,0.1598,0.0333,0.1353,1.0
0.04,i,0.7197,-0.2715,0.6293,0.1108,0.0555,0.0,0.0,0.4467,0.8113,0.4447,0.5289,0.4633,0.5549,0.0,0.1441,0.0254,0.1202,0.7562
0.06,i,0.7199,-0.274,0.6279,0.1116,0.0251,0.0,0.0,0.3414,1.0,0.4459,0.5282,0.4631,0.5547,0.0,0.2789,0.0228,0.2512,0.7826
0.08,i,0.7202,-0.2762,0.6264,0.1124,0.0063,0.0,0.0,0.438,0.7983,0.4471,0.5274,0.4628,0.5548,0.0,0.2099,0.0228,0.1706,1.0
0.1,i,0.7205,-0.2785,0.6249,0.1132,0.0227,0.0,0.0,0.6926,1.0,0.4484,0.5265,0.4623,0.555,0.0,0.1316,0.0307,0.1353,0.4393
0.12,i,0.7206,-0.2814,0.6232,0.1145,0.093,0.0,0.0,0.5653,1.0,0.4496,0.5256,0.4617,0.5553,0.0,0.1504,0.0241,0.0044,0.941
0.14,i,0.7203,-0.285,0.6216,0.1165,0.086,0.0,0.0,0.517,0.9548,0.4504,0.5248,0.4615,0.5556,0.0,0.0626,0.0412,0.0875,1.0
0.16,i,0.7197,-0.2893,0.6198,0.1192,0.0555,0.0,0.0,0.4731,0.9026,0.451,0.524,0.4615,0.5558,0.0,0.166,0.0241,0.1101,1.0
0.18,i,0.7187,-0.2941,0.618,0.1227,0.0,0.0,0.0,0.4731,0.6287,0.451,0.5231,0.4622,0.5562,0.0,0.1692,0.0268,0.095,0.7033
0.2,i,0.7176,-0.2993,0.616,0.1268,0.0673,0.0,0.0,0.4555,1.0,0.4503,0.5219,0.4634,0.5569,0.0,0.2005,0.0,0.1101,1.0
0.22,i,0.7164,-0.3046,0.6138,0.1313,0.0602,0.0,0.0,0.3897,0.8113,0.4488,0.5205,0.4652,0.5579,0.0,0.1848,0.0,0.0648,0.2808
0.24,i,0.7153,-0.3096,0.6116,0.1359,0.0298,0.0,0.0,0.4994,0.9809,0.4467,0.5186,0.4675,0.5594,0.0,0.1065,0.0,0.1907,0.809
0.26,i,0.7143,-0.3146,0.6091,0.1406,0.0555,0.0,0.0,0.6706,1.0,0.4443,0.5158,0.4702,0.5616,0.0,0.0501,0.0241,0.1655,1.0
0.28,i,0.7135,-0.3192,0.6066,0.1452,0.0462,0.0,0.0,0.4994,0.8504,0.4418,0.5122,0.4733,0.5643,0.0,0.1065,0.0,0.0875,1.0
0.3,i,0.7129,-0.3232,0.6041,0.1494,0.0415,0.0,0.0,0.4116,1.0,0.439,0.5084,0.4766,0.5671,0.0,0.0751,0.0124,0.2058,1.0
0.32,i,0.7124,-0.3268,0.6018,0.1534,0.0157,0.0,0.0,0.5477,1.0,0.4357,0.5048,0.48,0.57,0.0,0.1378,0.0,0.1429,1.0
0.34,i,0.712,-0.3301,0.5995,0.1572,0.0251,0.0,0.0,0.517,1.0,0.4323,0.5016,0.4832,0.5728,0.0,0.0939,0.0477,0.1429,0.941
0.36,i,0.7115,-0.3334,0.5972,0.1611,0.0,0.0,0.0,0.4994,0.7722,0.429,0.4987,0.4861,0.5753,0.0,0.2413,0.0909,0.095,0.4393
0.38,i,0.7111,-0.3364,0.595,0.1649,0.0,0.0,0.0,0.4775,0.9157,0.4258,0.4961,0.4887,0.5778,0.0,0.1347,0.0,0.1529,0.0167
0.4,i,0.7108,-0.3394,0.5927,0.1686,0.0227,0.0,0.0,0.3897,1.0,0.4221,0.493,0.4915,0.5806,0.0,0.2601,0.0189,0.0875,1.0
0.42,i,0.7104,-0.342,0.5905,0.1721,0.0555,0.0,0.0,0.4467,1.0,0.4177,0.489,0.4947,0.5846,0.0,0.3353,0.0438,0.1328,1.0
0.44,i,0.7103,-0.3444,0.5883,0.1755,0.0,0.0,0.0,0.3414,1.0,0.4117,0.4837,0.4979,0.5904,0.0,0.1441,0.032,0.1404,0.6241
0.46,i,0.7101,-0.3464,0.5864,0.1787,0.0673,0.0,0.0,0.5301,1.0,0.4037,0.4782,0.5005,0.5981,0.0,0.1065,0.0,0.1681,1.0
0.48,i,0.71,-0.3481,0.5844,0.1818,0.0,0.0,0.0,0.4511,0.8113,0.3956,0.4739,0.5005,0.6069,0.0,0.1316,0.087,0.1429,0.7562
0.5,i,0.71,-0.3497,0.5826,0.1847,0.0391,0.0,0.0,0.4862,0.707,0.3887,0.4711,0.4961,0.6172,0.0,0.0971,0.0438,0.1429,1.0
0.52,i,0.7101,-0.3511,0.5809,0.1874,0.0485,0.0,0.0,0.5345,1.0,0.383,0.4699,0.4866,0.629,0.0,0.1786,0.0503,0.0875,1.0
0.54,i,0.7101,-0.3526,0.5791,0.1899,0.0,0.0,0.0,0.337,0.7983,0.3779,0.4705,0.4711,0.6433,0.0,0.2789,0.0752,0.0,1.0
