path,label,label_id,stem,frames,width,height,fps,any_hand_rate
/vol/input/Jobs/98. Actor/MVI_4516.MOV,actor,50,MVI_4516,67,1920,1080,25.0,1.0
/vol/input/Jobs/98. Actor/MVI_4517.MOV,actor,50,MVI_4517,71,1920,1080,25.0,1.0
/vol/input/Jobs/98. Actor/MVI_4518.MOV,actor,50,MVI_4518,64,1920,1080,25.0,1.0
/vol/input/Jobs/98. Actor/MVI_4519.MOV,actor,50,MVI_4519,67,1920,1080,25.0,1.0
/vol/input/Jobs/98. Actor/MVI_4791.MOV,actor,50,MVI_4791,74,1920,1080,25.0,1.0
/vol/input/Jobs/98. Actor/MVI_4792.MOV,actor,50,MVI_4792,80,1920,1080,25.0,1.0
/vol/input/Jobs/98. Actor/MVI_4793.MOV,actor,50,MVI_4793,78,1920,1080,25.0,1.0
/vol/input/Jobs/98. Actor/MVI_5371.MOV,actor,50,MVI_5371,72,1920,1080,25.0,1.0
/vol/input/Jobs/98. Actor/MVI_5372.MOV,actor,50,MVI_5372,78,1920,1080,25.0,1.0
/vol/input/Jobs/98. Actor/MVI_5373.MOV,actor,50,MVI_5373,73,1920,1080,25.0,1.0
/vol/input/Jobs/98. Actor/MVI_5374.MOV,actor,50,MVI_5374,66,1920,1080,25.0,1.0
/vol/input/Jobs/98. Actor/MVI_8921.MP4,actor,50,MVI_8921,77,1920,1080,25.0,1.0
/vol/input/Jobs/98. Actor/MVI_8922.MP4,actor,50,MVI_8922,76,1920,1080,25.0,1.0
/vol/input/Jobs/98. Actor/MVI_8923.MP4,actor,50,MVI_8923,79,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_3823.MOV,adult,51,MVI_3823,72,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_3824.MOV,adult,51,MVI_3824,75,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_3825.MOV,adult,51,MVI_3825,75,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_3971.MOV,adult,51,MVI_3971,65,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_3972.MOV,adult,51,MVI_3972,68,1920,1080,25.0,1.0
/vol/input/People/80. Adult/MVI_3973.MOV,adult,51,MVI_3973,78,1920,1080,25.0,1.0
